Date,Subsidence_ft,Source
1/1/1904,0,Leveling
1/25/1935,0,Leveling
5/15/1942,-0.03,Leveling
6/1/1959,0.56,Leveling
10/16/1959,0.5,Leveling
4/1/1967,0.58,Leveling
6/1/1987,1.01,Leveling
8/1/1999,1.45,Leveling
7/20/2002,1.48,Leveling
8/1/2004,1.64,InSAR
9/1/2004,1.63,InSAR
10/1/2004,1.61,InSAR
11/1/2004,1.59,InSAR
12/1/2004,1.58,InSAR
1/1/2005,1.58,InSAR
2/1/2005,1.56,InSAR
3/1/2005,1.56,InSAR
4/1/2005,1.57,InSAR
5/1/2005,1.58,InSAR
6/1/2005,1.6,InSAR
7/1/2005,1.62,InSAR
8/15/2005,1.62,Leveling
1/1/2006,1.53,InSAR
2/1/2006,1.52,InSAR
3/1/2006,1.52,InSAR
4/1/2006,1.54,InSAR
5/1/2006,1.55,InSAR
8/1/2007,1.63,InSAR
9/1/2007,1.64,InSAR
10/1/2007,1.63,InSAR
11/1/2007,1.63,InSAR
12/1/2007,1.61,InSAR
1/1/2008,1.59,InSAR
2/1/2008,1.59,InSAR
3/1/2008,1.58,InSAR
4/1/2008,1.59,InSAR
5/15/2008,1.6,Leveling
6/1/2008,1.63,GPS
7/1/2008,1.65,GPS
8/1/2008,1.66,GPS
9/1/2008,1.67,GPS
3/1/2009,1.82,GPS
4/1/2009,1.83,GPS
5/1/2009,1.87,GPS
6/1/2009,1.92,GPS
7/1/2009,1.97,GPS
8/1/2009,2,GPS
9/1/2009,2,GPS
10/1/2009,1.98,GPS
11/1/2009,1.96,GPS
12/1/2009,1.94,GPS
1/1/2010,1.93,GPS
2/1/2010,1.91,GPS
3/1/2010,1.91,GPS
4/1/2010,1.92,GPS
5/1/2010,1.95,GPS
6/1/2010,2.01,GPS
7/1/2010,2.06,GPS
8/1/2010,2.09,GPS
9/1/2010,2.09,GPS
10/1/2010,2.07,GPS
11/1/2010,2.04,GPS
12/1/2010,2.03,GPS
1/1/2011,2.01,GPS
2/1/2011,2,GPS
3/1/2011,1.99,GPS
4/1/2011,2,GPS
5/1/2011,2.04,GPS
6/1/2011,2.09,GPS
7/1/2011,2.16,GPS
8/1/2011,2.18,GPS
9/1/2011,2.17,GPS
10/1/2011,2.16,GPS
2/1/2012,2.16,GPS
3/1/2012,2.14,GPS
4/1/2012,2.12,GPS
5/1/2012,2.11,GPS
6/1/2012,2.09,GPS
7/1/2012,2.08,GPS
8/1/2012,2.08,GPS
9/1/2012,2.11,GPS
10/1/2012,2.16,GPS
11/1/2012,2.21,GPS
12/1/2012,2.26,GPS
1/1/2013,2.27,GPS
2/1/2013,2.25,GPS
3/1/2013,2.23,GPS
4/1/2013,2.21,GPS
5/1/2013,2.2,GPS
6/1/2013,2.19,GPS
9/1/2013,2.18,GPS
10/1/2013,2.17,GPS
11/1/2013,2.18,GPS
12/1/2013,2.21,GPS
1/1/2014,2.26,GPS
2/1/2014,2.32,GPS
3/1/2014,2.35,GPS
4/1/2014,2.35,GPS
5/1/2014,2.34,GPS
6/1/2014,2.31,GPS
7/1/2014,2.29,GPS
8/1/2014,2.28,GPS
8/1/2015,2.28,GPS
9/1/2015,2.27,GPS
10/1/2015,2.26,GPS
11/1/2015,2.26,GPS
12/1/2015,2.27,GPS
1/1/2016,2.31,GPS
2/1/2016,2.37,GPS
3/1/2016,2.42,GPS
4/1/2016,2.44,GPS
5/1/2016,2.44,GPS
6/21/2016,2.29,Leveling
7/1/2016,2.39,GPS
8/1/2016,2.38,GPS
9/1/2016,2.36,GPS
10/1/2016,2.35,GPS
11/1/2016,2.34,GPS
12/1/2016,2.36,GPS
1/1/2017,2.4,GPS
2/1/2017,2.45,GPS
3/1/2017,2.5,GPS
4/1/2017,2.53,GPS
5/1/2017,2.52,GPS
6/20/2017,2.4,Leveling
7/1/2017,2.48,GPS
8/1/2017,2.46,GPS
9/1/2017,2.45,GPS
10/1/2017,2.44,GPS
11/1/2017,2.43,GPS
12/1/2017,2.44,GPS
1/1/2018,2.48,GPS
2/1/2018,2.54,GPS
3/1/2018,2.59,GPS
4/1/2018,2.61,GPS
5/1/2018,2.61,GPS
6/1/2018,2.59,GPS
7/1/2018,2.57,GPS
8/1/2018,2.55,GPS
9/1/2018,2.54,GPS
10/1/2018,2.52,GPS
11/1/2018,2.52,GPS
12/1/2018,2.53,GPS
1/1/2019,2.57,GPS
2/1/2019,2.63,GPS
3/1/2019,2.68,GPS
4/1/2019,2.7,GPS
5/1/2019,2.7,GPS
6/1/2019,2.68,GPS
7/1/2019,2.66,GPS
8/1/2019,2.64,GPS
9/1/2019,2.63,GPS
10/1/2019,2.61,GPS
11/1/2019,2.61,GPS
12/1/2019,2.62,GPS
1/1/2020,2.66,GPS
2/1/2020,2.72,GPS
3/1/2020,2.77,GPS
4/1/2020,2.79,GPS
5/1/2020,2.79,GPS
6/1/2020,2.77,GPS
7/1/2020,2.74,GPS
8/1/2020,2.73,GPS
9/1/2020,2.71,GPS
10/1/2020,2.7,GPS
11/1/2020,2.69,GPS
12/1/2020,2.71,GPS
1/1/2021,2.75,GPS
2/1/2021,2.8,GPS
3/1/2021,2.85,GPS
4/1/2021,2.88,GPS
5/1/2021,2.88,GPS
6/1/2021,2.85,GPS
7/1/2021,2.84,GPS
8/1/2021,2.82,GPS
9/1/2021,2.81,GPS
10/1/2021,2.8,GPS
11/1/2021,2.79,GPS
12/1/2021,2.78,GPS
1/1/2022,2.79,GPS
2/1/2022,2.81,GPS
3/1/2022,2.86,GPS
4/1/2022,2.92,GPS
5/1/2022,2.96,GPS
6/1/2022,2.97,GPS
7/1/2022,2.95,GPS
8/1/2022,2.93,GPS
9/1/2022,2.91,GPS
10/1/2022,2.89,GPS
11/1/2022,2.88,GPS
12/1/2022,2.87,GPS
1/1/2023,2.87,GPS
2/1/2023,2.9,GPS
3/1/2023,2.95,GPS
4/1/2023,3.02,GPS
5/1/2023,3.05,GPS
6/1/2023,3.05,GPS
7/1/2023,3.03,GPS
8/1/2023,2.97,GPS
9/1/2023,2.98,GPS
10/1/2023,2.97,InSAR
11/1/2023,2.97,InSAR
12/1/2023,2.93,InSAR
1/1/2024,2.91,InSAR
2/1/2024,2.89,InSAR
3/1/2024,2.89,InSAR
4/1/2024,2.89,InSAR
8/6/2024,2.89,Leveling
